event,date,n_pre,n_post,pct_neg_pre,pct_neg_post,delta_neg_pp,z,p_value,net_pre,net_post,delta_net,note
Anuncio candidatura,2025-03-05,74,1543,0.32432432432432434,0.321451717433571,-0.287260689075336,-0.05168030227572964,0.9587834327691709,-0.02702702702702703,0.009721322099805573,0.0367483491268326,
Rol de influencia,2025-11-29,96,634,0.4270833333333333,0.34069400630914826,-8.638932702418506,-1.6515990877970277,0.09861630611593797,-0.25,-0.12618296529968454,0.12381703470031546,
Tuit viral,2026-06-21,4624,14380,0.4742647058823529,0.49450625869262865,2.024155281027573,2.3951569354298465,0.016613252852462512,-0.35488754325259514,-0.3878998609179416,-0.03301231766534646,
PRSC abre puertas,2026-06-24,11123,9010,0.49572956936078394,0.48756936736958933,-0.8160201991194604,-1.15160765811754,0.24948233304782041,-0.3893733704935719,-0.37469478357380687,0.014678586919765035,
Presión de fans,2026-07-06,13594,3531,0.49271737531263793,0.5420560747663551,4.9338699453717165,5.224348646941237,1.7476921132519863e-07,-0.3848756804472561,-0.42650807136788443,-0.041632390920628315,
