week,n,pct_pos,pct_neu,pct_neg,net_sentiment,ci_low,ci_high,low_confidence,aspect
2025-01-12 00:00:00+00:00,13,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.07692307692307693,-0.3076923076923077,0.46153846153846156,True,entretenimiento
2025-01-19 00:00:00+00:00,189,0.6402116402116402,0.15343915343915343,0.20634920634920634,0.43386243386243384,0.32275132275132273,0.5502645502645502,False,entretenimiento
2025-01-26 00:00:00+00:00,88,0.5454545454545454,0.25,0.20454545454545456,0.3409090909090909,0.17045454545454544,0.5,False,entretenimiento
2025-02-02 00:00:00+00:00,43,0.6046511627906976,0.11627906976744186,0.27906976744186046,0.32558139534883723,0.046511627906976744,0.6046511627906976,False,entretenimiento
2025-02-09 00:00:00+00:00,12,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.25,-0.08333333333333333,0.5833333333333334,True,entretenimiento
2025-02-16 00:00:00+00:00,12,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5,0.08333333333333333,0.8333333333333334,True,entretenimiento
2025-02-23 00:00:00+00:00,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,,,True,entretenimiento
2025-03-02 00:00:00+00:00,1,1.0,0.0,0.0,1.0,,,True,entretenimiento
2025-03-09 00:00:00+00:00,233,0.7725321888412017,0.09871244635193133,0.12875536480686695,0.6437768240343348,0.5493562231759657,0.7296137339055794,False,entretenimiento
2025-03-16 00:00:00+00:00,58,0.603448275862069,0.15517241379310345,0.2413793103448276,0.3620689655172414,0.13793103448275862,0.5862068965517241,False,entretenimiento
2025-03-23 00:00:00+00:00,6,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,-0.3333333333333333,0.8333333333333334,True,entretenimiento
2025-03-30 00:00:00+00:00,4,0.75,0.0,0.25,0.5,,,True,entretenimiento
2025-04-06 00:00:00+00:00,12,0.5833333333333334,0.16666666666666666,0.25,0.3333333333333333,-0.16666666666666666,0.8333333333333334,True,entretenimiento
2025-04-13 00:00:00+00:00,3,0.3333333333333333,0.0,0.6666666666666666,-0.3333333333333333,,,True,entretenimiento
2025-04-20 00:00:00+00:00,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,True,entretenimiento
2025-04-27 00:00:00+00:00,10,0.5,0.0,0.5,0.0,-0.6,0.6,True,entretenimiento
2025-05-04 00:00:00+00:00,9,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.2222222222222222,-0.4444444444444444,0.7777777777777778,True,entretenimiento
2025-05-11 00:00:00+00:00,1,0.0,1.0,0.0,0.0,,,True,entretenimiento
2025-05-18 00:00:00+00:00,5,0.6,0.0,0.4,0.2,-0.6,1.0,True,entretenimiento
2025-06-01 00:00:00+00:00,28,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.07142857142857142,-0.25,0.39285714285714285,True,entretenimiento
2025-06-08 00:00:00+00:00,44,0.29545454545454547,0.4090909090909091,0.29545454545454547,0.0,-0.22727272727272727,0.25,False,entretenimiento
2025-06-15 00:00:00+00:00,16,0.25,0.1875,0.5625,-0.3125,-0.75,0.06406249999999147,True,entretenimiento
2025-06-22 00:00:00+00:00,19,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.05263157894736842,-0.3684210526315789,0.47368421052631576,True,entretenimiento
2025-06-29 00:00:00+00:00,18,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.2222222222222222,-0.16666666666666666,0.6111111111111112,True,entretenimiento
2025-07-06 00:00:00+00:00,53,0.2830188679245283,0.22641509433962265,0.49056603773584906,-0.20754716981132076,-0.4339622641509434,0.01933962264150686,False,entretenimiento
2025-07-13 00:00:00+00:00,28,0.21428571428571427,0.42857142857142855,0.35714285714285715,-0.14285714285714285,-0.42857142857142855,0.14285714285714285,True,entretenimiento
2025-07-20 00:00:00+00:00,27,0.4444444444444444,0.2962962962962963,0.25925925925925924,0.18518518518518517,-0.1111111111111111,0.48148148148148145,True,entretenimiento
