week,n,pct_pos,pct_neu,pct_neg,net_sentiment,ci_low,ci_high,low_confidence
2025-01-12 00:00:00+00:00,218,0.1651376146788991,0.5137614678899083,0.3211009174311927,-0.1559633027522936,-0.24770642201834864,-0.0641055045871566,False
2025-01-19 00:00:00+00:00,1294,0.30370942812983,0.42581143740340033,0.2704791344667697,0.03323029366306028,-0.006955177743431221,0.0749806800618237,False
2025-01-26 00:00:00+00:00,895,0.24581005586592178,0.3865921787709497,0.3675977653631285,-0.1217877094972067,-0.16983240223463686,-0.07150837988826815,False
2025-02-02 00:00:00+00:00,430,0.2744186046511628,0.46744186046511627,0.25813953488372093,0.01627906976744186,-0.053488372093023255,0.08372093023255814,False
2025-02-09 00:00:00+00:00,153,0.1830065359477124,0.49019607843137253,0.32679738562091504,-0.1437908496732026,-0.24836601307189543,-0.032679738562091505,False
2025-02-16 00:00:00+00:00,309,0.4692556634304207,0.3333333333333333,0.19741100323624594,0.27184466019417475,0.18770226537216828,0.3559870550161812,False
2025-02-23 00:00:00+00:00,49,0.32653061224489793,0.3877551020408163,0.2857142857142857,0.04081632653061224,-0.1836734693877551,0.2653061224489796,False
2025-03-02 00:00:00+00:00,28,0.17857142857142858,0.4642857142857143,0.35714285714285715,-0.17857142857142858,-0.42857142857142855,0.07142857142857142,True
2025-03-09 00:00:00+00:00,1234,0.3525121555915721,0.34359805510534847,0.3038897893030794,0.04862236628849271,0.004862236628849271,0.0940032414910859,False
2025-03-16 00:00:00+00:00,225,0.3111111111111111,0.3511111111111111,0.3377777777777778,-0.02666666666666667,-0.1288888888888889,0.08444444444444445,False
2025-03-23 00:00:00+00:00,310,0.06451612903225806,0.3741935483870968,0.5612903225806452,-0.4967741935483871,-0.5645161290322581,-0.4258064516129032,False
2025-03-30 00:00:00+00:00,156,0.1346153846153846,0.44871794871794873,0.4166666666666667,-0.28205128205128205,-0.3782051282051282,-0.16666666666666666,False
2025-04-06 00:00:00+00:00,260,0.18846153846153846,0.45384615384615384,0.3576923076923077,-0.16923076923076924,-0.25769230769230766,-0.08076923076923077,False
2025-04-13 00:00:00+00:00,112,0.16071428571428573,0.4017857142857143,0.4375,-0.2767857142857143,-0.4107142857142857,-0.14285714285714285,False
2025-04-20 00:00:00+00:00,104,0.14423076923076922,0.4230769230769231,0.4326923076923077,-0.28846153846153844,-0.4230769230769231,-0.16322115384615515,False
2025-04-27 00:00:00+00:00,98,0.23469387755102042,0.37755102040816324,0.3877551020408163,-0.15306122448979592,-0.30612244897959184,0.0,False
2025-05-04 00:00:00+00:00,63,0.30158730158730157,0.3492063492063492,0.3492063492063492,-0.047619047619047616,-0.23809523809523808,0.15873015873015872,False
2025-05-11 00:00:00+00:00,42,0.21428571428571427,0.5238095238095238,0.2619047619047619,-0.047619047619047616,-0.2619047619047619,0.16666666666666666,False
2025-05-18 00:00:00+00:00,27,0.25925925925925924,0.2222222222222222,0.5185185185185185,-0.25925925925925924,-0.5555555555555556,0.07407407407407407,True
2025-05-25 00:00:00+00:00,10,0.1,0.8,0.1,0.0,-0.3,0.3,True
2025-06-01 00:00:00+00:00,101,0.3069306930693069,0.43564356435643564,0.25742574257425743,0.04950495049504951,-0.09900990099009901,0.2079207920792079,False
2025-06-08 00:00:00+00:00,325,0.19384615384615383,0.5261538461538462,0.28,-0.08615384615384615,-0.16307692307692306,-0.012307692307692308,False
2025-06-15 00:00:00+00:00,268,0.13805970149253732,0.5634328358208955,0.29850746268656714,-0.16044776119402984,-0.23507462686567165,-0.08208955223880597,False
2025-06-22 00:00:00+00:00,416,0.11778846153846154,0.4855769230769231,0.39663461538461536,-0.27884615384615385,-0.34134615384615385,-0.21634615384615385,False
2025-06-29 00:00:00+00:00,218,0.12844036697247707,0.5321100917431193,0.3394495412844037,-0.21100917431192662,-0.29357798165137616,-0.12844036697247707,False
2025-07-06 00:00:00+00:00,281,0.2669039145907473,0.298932384341637,0.43416370106761565,-0.16725978647686832,-0.2704626334519573,-0.07108540925266953,False
2025-07-13 00:00:00+00:00,137,0.13138686131386862,0.48905109489051096,0.3795620437956204,-0.24817518248175183,-0.35766423357664234,-0.13138686131386862,False
2025-07-20 00:00:00+00:00,209,0.3349282296650718,0.39712918660287083,0.2679425837320574,0.06698564593301436,-0.03349282296650718,0.1722488038277512,False
2025-07-27 00:00:00+00:00,475,0.13894736842105262,0.6294736842105263,0.23157894736842105,-0.09263157894736843,-0.14526315789473684,-0.042052631578947654,False
2025-08-03 00:00:00+00:00,174,0.13793103448275862,0.5517241379310345,0.3103448275862069,-0.1724137931034483,-0.26436781609195403,-0.07471264367816093,False
2025-08-10 00:00:00+00:00,22,0.18181818181818182,0.45454545454545453,0.36363636363636365,-0.18181818181818182,-0.45454545454545453,0.13636363636363635,True
2025-08-17 00:00:00+00:00,253,0.25691699604743085,0.4505928853754941,0.2924901185770751,-0.03557312252964427,-0.13043478260869565,0.05138339920948617,False
2025-08-24 00:00:00+00:00,531,0.1431261770244821,0.32015065913371,0.536723163841808,-0.3935969868173258,-0.45579096045197737,-0.3352165725047081,False
